Phrenic activation, Abdominal activation, %VC/s, %VC, Pressure (cmH20), timestep, lma (0-1), Pab, Pdi, PL, Pressure-PL
0.5,0.065337,16.5102,16.8117,0.205099,0,0.0141842,-0.378931,3.90747,4.4915,-4.2864
0.5,0.065337,14.2149,16.8046,-0.0889326,0.0005,0.0281671,-0.180489,4.39804,4.4896,-4.57853
0.5,0.065337,12.0491,16.7986,-0.28849,0.001,0.0419518,-0.000026541,4.77645,4.48799,-4.77648
0.5,0.065337,10.1596,16.7935,-0.404167,0.0015,0.0555409,0.154413,5.04521,4.48663,-4.8908
0.5,0.065337,8.57319,16.7892,-0.46426,0.002,0.0689372,0.283576,5.23332,4.48548,-4.94974
0.5,0.065337,7.24402,16.7856,-0.49305,0.0025,0.0821436,0.392542,5.37011,4.48451,-4.97756
0.5,0.065337,6.11505,16.7825,-0.505146,0.003,0.0951626,0.486381,5.47522,4.4837,-4.98884
0.5,0.065337,5.13962,16.78,-0.508382,0.0035,0.107997,0.568938,5.56033,4.48301,-4.99139
0.5,0.065337,4.28338,16.7778,-0.506893,0.004,0.120649,0.642927,5.63226,4.48244,-4.98933
0.5,0.065337,3.52153,16.7761,-0.502905,0.0045,0.133122,0.710252,5.69512,4.48197,-4.98487
0.5,0.065337,2.83596,16.7746,-0.497644,0.005,0.145418,0.772275,5.7515,4.48159,-4.97923
0.5,0.065337,2.21242,16.7735,-0.491845,0.0055,0.15754,0.82996,5.80309,4.48129,-4.97313
0.5,0.065337,1.64101,16.7727,-0.485888,0.006,0.169489,0.884056,5.85101,4.48107,-4.96696
0.5,0.065337,1.11398,16.7722,-0.479991,0.0065,0.181269,0.935133,5.89604,4.48092,-4.96091
0.5,0.065337,0.625075,16.7718,-0.474285,0.007,0.192882,0.983628,5.93875,4.48084,-4.95512
0.5,0.065337,0.169279,16.7718,-0.468844,0.0075,0.204331,1.02989,5.97954,4.48081,-4.94966
0.5,0.065337,-0.256821,16.7719,-0.463926,0.008,0.215616,1.07419,6.01896,4.48085,-4.94477
0.5,0.065337,-0.654303,16.7722,-0.460304,0.0085,0.226742,1.11676,6.05799,4.48093,-4.94124
0.5,0.065337,-1.02653,16.7727,-0.457815,0.009,0.23771,1.15778,6.09667,4.48107,-4.93888
0.5,0.065337,-1.3765,16.7734,-0.456253,0.0095,0.248523,1.19742,6.13493,4.48125,-4.93751
0.5,0.065337,-1.70673,16.7743,-0.455453,0.01,0.259182,1.23581,6.17274,4.48148,-4.93693
0.5,0.065337,-2.01931,16.7753,-0.455286,0.0105,0.26969,1.27306,6.21009,4.48175,-4.93703
